chapter,paragraph_in_chapter,fix,before,after
Chapter Two,37,period->comma,"“Here.” Cain said, and she felt him stop. His body c","“Here,” Cain said, and she felt him stop. His body c"
Chapter Two,39,period->comma,“Wind break.” Cain answered. Muse felt it immediately now that,"“Wind break,” Cain answered. Muse felt it immediately now that"
Chapter Two,46,period->comma,m about thirty paces northeast.” Uthesia said from somewhere ahead. “Frozen over,"m about thirty paces northeast,” Uthesia said from somewhere ahead. “Frozen over"
Chapter Two,54,period->comma,“Thank you.” She said warmly.,"“Thank you,” she said warmly."
Chapter Two,55,period->comma,"“Hm.” He answered, which was Cain for ‘you’re welcom","“Hm,” he answered, which was Cain for ‘you’re welcom"
Chapter Two,58,period->comma,"e used to be a prayer for this.’ She thought, tilting her face toward the heat.","e used to be a prayer for this,’ she thought, tilting her face toward the heat."
Chapter Two,61,period->comma,“Rations.” Cain answered.,"“Rations,” Cain answered."
Chapter Two,77,period->comma,“It is different.” Muse admitted. “But we’ll manage. Cain knows ter,"“It is different,” Muse admitted. “But we’ll manage. Cain knows ter"
Chapter Two,90,period->comma,‘None of this matters.’ He thought as he pulled the thread tight. ‘Cr,"‘None of this matters,’ he thought as he pulled the thread tight. ‘Cr"
Chapter Three,5,period->comma,"“So we pack cold.” Cain said from the perimeter, as if it were ","“So we pack cold,” Cain said from the perimeter, as if it were "
Chapter Three,6,period->comma,“We pack cold.” Gormund confirmed bitterly. “And we either thaw enou,"“We pack cold,” Gormund confirmed bitterly. “And we either thaw enou"
Chapter Three,7,period->comma,"Thaw one skin, carry the other.” Muse said. “We drink what we can now, and if","Thaw one skin, carry the other,” Muse said. “We drink what we can now, and if"
Chapter Three,8,period->comma,“If there is one.” Gormund muttered.,"“If there is one,” Gormund muttered."
Chapter Three,17,period->comma,"“Yes.” Five voices said at once, and even Uthesia’s mouth ","“Yes,” Five voices said at once, and even Uthesia’s mouth "
Chapter Three,25,period->comma,"‘Could be ice shifting.’ He thought, keeping his pace even.","‘Could be ice shifting,’ he thought, keeping his pace even."
Chapter Three,28,period->comma,"“Terrain change.” He said over his shoulder, loud enough for","“Terrain change,” he said over his shoulder, loud enough for"
Chapter Three,29,period->comma,“I can’t watch my step.” Muse said mildly.,"“I can’t watch my step,” Muse said mildly."
Chapter Three,30,period->comma,"“Then watch it harder.” He replied, and heard her laugh behind him, s","“Then watch it harder,” he replied, and heard her laugh behind him, s"
Chapter Three,36,period->comma,"“Smoke.” She said, pointing. “Southeast, maybe half ","“Smoke,” she said, pointing. “Southeast, maybe half "
Chapter Three,39,period->comma,"“No.” Cain said, in the same flat tone he used for","“No,” Cain said, in the same flat tone he used for"
Chapter Three,46,period->comma,the group because you’re bored.” Uthesia replied without inflection.,"the group because you’re bored,” Uthesia replied without inflection."
Chapter Three,50,period->comma,"“We go together.” Cain said. “All of us, or none. We don’t spl","“We go together,” Cain said. “All of us, or none. We don’t spl"
Chapter Three,55,period->comma,"“She’s right.” Muse said, and her voice was even and warm a","“She’s right,” Muse said, and her voice was even and warm a"
Chapter Three,56,period->comma,"eing so damn… whatever you are.’ Carina thought, and turned south toward the smoke","eing so damn… whatever you are,’ Carina thought, and turned south toward the smoke"
Chapter Three,58,period->comma,"“They left on their own.” Uthesia said from the doorway, her eye moving o","“They left on their own,” Uthesia said from the doorway, her eye moving o"
Chapter Three,60,period->comma,"“Crimson Port, probably.” Gormund answered from where he stood in the doorway","“Crimson Port, probably,” Gormund answered from where he stood in the doorway"
Chapter Three,65,period->comma,"he pulled her hand away. “Yeah.” She said, and didn’t say anything else beca","he pulled her hand away. “Yeah,” she said, and didn’t say anything else beca"
Chapter Three,72,period->comma,“Uthesia.” Muse said.,"“Uthesia,” Muse said."
Chapter Three,78,period->comma,"“You’re perceptive.” Uthesia said, and it wasn’t a compliment.","“You’re perceptive,” Uthesia said, and it wasn’t a compliment."
Chapter Three,79,period->comma,“I listen.” Muse replied simply. “What are you listening fo,"“I listen,” Muse replied simply. “What are you listening fo"
Chapter Three,83,period->comma,"“Smart habit.” Muse said aloud, and let the subject change ","“Smart habit,” Muse said aloud, and let the subject change "
Chapter Three,85,period->comma,"“We’re getting close.” Cain said from the front, and his voice had ","“We’re getting close,” Cain said from the front, and his voice had "
Chapter Three,86,period->comma,“Salt means the coast.” Gormund confirmed from behind. “Crimson Port is a ha,"“Salt means the coast,” Gormund confirmed from behind. “Crimson Port is a ha"
Chapter Three,87,period->comma,“Then let’s push.” Carina said immediately. “We can make it befor,"“Then let’s push,” Carina said immediately. “We can make it befor"
Chapter Three,89,period->comma,“Muse.” Cain said. “Can you handle a faster pace for,"“Muse,” Cain said. “Can you handle a faster pace for"
Chapter Three,93,period->comma,“I can smell it.” Muse said quietly. “We’re close.”,"“I can smell it,” Muse said quietly. “We’re close.”"
Chapter Three,96,period->comma,"“I can see it.” He said, and there was something in his vo","“I can see it,” he said, and there was something in his vo"
Chapter Three,97,period->comma,"“Describe it.” She said, requiring Cain to paint the pictu","“Describe it,” she said, requiring Cain to paint the pictu"
Chapter Three,101,period->comma,village they’ve never heard of.’ Muse thought. ‘We need them to give us supplies,"village they’ve never heard of,’ Muse thought. ‘We need them to give us supplies"
Chapter Three,103,period->comma,"“Well.” Gormund said from behind her, and she heard the","“Well,” Gormund said from behind her, and she heard the"
Chapter Three,104,period->comma,“Highest bar you’ve ever set.” Carina muttered.,"“Highest bar you’ve ever set,” Carina muttered."
Chapter Three,105,period->comma,"“Come on.” Cain said, and started walking again, and Mu","“Come on,” Cain said, and started walking again, and Mu"
Chapter Four,5,period->comma,“This is stupid.” She said.,"“This is stupid,” she said."
Chapter Four,8,period->comma,“We wait.” Cain said from beside her without looking do,"“We wait,” Cain said from beside her without looking do"
Chapter Four,10,period->comma,"“Finish that sentence.” Gormund said from behind her, his voice flat an","“Finish that sentence,” Gormund said from behind her, his voice flat an"
Chapter Four,23,period->comma,“Don’t.” Gormund said.,"“Don’t,” Gormund said."
Chapter Four,31,period->comma,"‘It’s not like we asked for it.’ She thought, but the thought didn’t land the w","‘It’s not like we asked for it,’ she thought, but the thought didn’t land the w"
Chapter Four,46,period->comma,“Bad.” Cain said. “Eighteen days of food when we le,"“Bad,” Cain said. “Eighteen days of food when we le"
Chapter Four,48,period->comma,“Arrangement.” Gormund repeated. He didn’t like that word. Arrange,"“Arrangement,” Gormund repeated. He didn’t like that word. Arrange"
Chapter Four,49,period->comma,"n enough today. “He’ll explain.” She repeated, and waved them through.","n enough today. “He’ll explain,” she repeated, and waved them through."
Chapter Four,55,period->comma,"“Descriptions.” She said, and Cain understood.","“Descriptions,” she said, and Cain understood."
Chapter Four,63,period->comma,is leaving them outside to die.’ She thought. ‘And whoever runs this place isn’,"is leaving them outside to die,’ she thought. ‘And whoever runs this place isn’"
Chapter Four,71,period->comma,“Velldale.” Cain said. “Thane Aldrich sent us. Two hundr,"“Velldale,” Cain said. “Thane Aldrich sent us. Two hundr"
Chapter Four,73,period->comma,“We’re not farmers.” Cain said simply.,"“We’re not farmers,” Cain said simply."
Chapter Four,76,period->comma,"“Here’s where we are.” He said, and the hoarseness softened sligh","“Here’s where we are,” he said, and the hoarseness softened sligh"
Chapter Four,86,period->comma,‘Closer to the epicenter.’ Muse thought. ‘Closer to whatever’s causing thi,"‘Closer to the epicenter,’ Muse thought. ‘Closer to whatever’s causing thi"
Chapter Four,87,period->comma,"ou want us to go to Solarspire.” Carina said, and to Muse’s surprise there was ","ou want us to go to Solarspire,” Carina said, and to Muse’s surprise there was "
Chapter Four,88,period->comma,“I want to give you a choice.” The Harbormaster said. “The escort jobs are safer. Short,"“I want to give you a choice,” the Harbormaster said. “The escort jobs are safer. Short"
Chapter Four,92,period->comma,“Twenty people.” Uthesia said quietly. “And no word from any of ,"“Twenty people,” Uthesia said quietly. “And no word from any of "
Chapter Four,96,period->comma,"l take the Solarspire contract.” She said, and her voice was the prophet’s v","l take the Solarspire contract,” she said, and her voice was the prophet’s v"
Chapter Four,98,period->comma,"“Right.” He said. “Lodging tonight, supplies in the","“Right,” he said. “Lodging tonight, supplies in the"
Chapter Four,99,period->comma,“We’ll do our best.” Muse said.,"“We’ll do our best,” Muse said."
Chapter Four,100,period->comma,“Yeah.” He said softly. “That’s what the last grou,"“Yeah,” he said softly. “That’s what the last grou"
Chapter Four,104,period->comma,"“I’ll take the other cot.” Uthesia said, and settled onto it with the meas","“I’ll take the other cot,” Uthesia said, and settled onto it with the meas"
Chapter Four,106,period->comma,“Hot food downstairs.” Cain said from the doorway. He hadn’t sat do,"“Hot food downstairs,” Cain said from the doorway. He hadn’t sat do"
Chapter Four,113,period->comma,"etables confirmed, but no meat.” She announced. “Barely. I think that one’s a tur","etables confirmed, but no meat,” she announced. “Barely. I think that one’s a tur"
Chapter Four,117,period->comma,"“Three other groups.” Uthesia said between bites. “Two by the bar, on","“Three other groups,” Uthesia said between bites. “Two by the bar, on"
Chapter Five,3,period->comma,"‘Crimson Port.’ She thought, and the world reassembled itself ","‘Crimson Port,’ she thought, and the world reassembled itself "
Chapter Five,8,period->comma,“Morning.” He said.,"“Morning,” he said."
Chapter Five,14,period->comma,"“Very.” She said, and meant it about more than the ","“Very,” she said, and meant it about more than the "
Chapter Five,19,period->comma,“Afternoon.” Gormund said without looking up.,"“Afternoon,” Gormund said without looking up."
Chapter Five,20,period->comma,“Shut up.” Carina managed.,"“Shut up,” Carina managed."
Chapter Five,21,period->comma,“It’s actually still morning.” Muse offered gently.,"“It’s actually still morning,” Muse offered gently."
Chapter Five,26,period->comma,"“I need a weapon.” Cain continued, and that got Carina’s attention. ","“I need a weapon,” Cain continued, and that got Carina’s attention. "
Chapter Five,29,period->comma,"t that’s a long walk from here.” Gormund said, mopping his bowl with bread. “Cri","t that’s a long walk from here,” Gormund said, mopping his bowl with bread. “Cri"
Chapter Five,30,period->comma,"“You’d probably die.” Carina said helpfully. “Oh, and get eaten.”","“You’d probably die,” Carina said helpfully. “Oh, and get eaten.”"
Chapter Five,32,period->comma,“I need ginseng.” Carina said. “And red sage if they have it. As,"“I need ginseng,” Carina said. “And red sage if they have it. As"
Chapter Five,39,period->comma,miled into her porridge. ‘This.’ She thought. ‘This is what they're actually li,"miled into her porridge. ‘This,’ she thought. ‘This is what they're actually li"
Chapter Five,42,period->comma,"“Smart.” Gormund said, and it was the first time he’d di","“Smart,” Gormund said, and it was the first time he’d di"
Chapter Five,46,period->comma,“Fine.” Cain said. “We shop in pairs or more. Nobody,"“Fine,” Cain said. “We shop in pairs or more. Nobody"
Chapter Five,53,period->comma,"’ll walk with Muse and Gormund.” Uthesia said, and it was such an unexpected off","’ll walk with Muse and Gormund,” Uthesia said, and it was such an unexpected off"
Chapter Five,54,period->comma,"“Good.” Muse said simply, and let it be.","“Good,” Muse said simply, and let it be."
Chapter Five,60,period->comma,"“Halberd.” Cain said. “Steel head, ash or oak shaft, ba","“Halberd,” Cain said. “Steel head, ash or oak shaft, ba"
Chapter Five,65,period->comma,"‘He’s old.’ She thought, not for the first time, but this ","‘He’s old,’ she thought, not for the first time, but this "
Chapter Five,79,period->comma,“I don’t need it.” Carina said.,"“I don’t need it,” Carina said."
Chapter Five,80,period->comma,"“Alright.” He said, and walked toward the door.","“Alright,” he said, and walked toward the door."
Chapter Five,82,period->comma,he herb market’s by the harbor.” She said as they stepped back into the cold,"he herb market’s by the harbor,” she said as they stepped back into the cold"
Chapter Five,93,period->comma,“You know a lot about this.” Muse said.,"“You know a lot about this,” Muse said."
Chapter Five,97,lowercase tag,"‘What are you counting?’ He thought, and didn’t ask, because he defini","‘What are you counting?’ he thought, and didn’t ask, because he defini"
Chapter Five,99,period->comma,"“You enjoyed that.” Muse said as they left the stall, a note of ","“You enjoyed that,” Muse said as they left the stall, a note of "
Chapter Five,103,period->comma,“She got that from Carina.” Gormund said. “That exact line. The girl’s infe,"“She got that from Carina,” Gormund said. “That exact line. The girl’s infe"
Chapter Five,104,period->comma,"“Like a disease.” Uthesia said, and it was so unexpected that Gor","“Like a disease,” Uthesia said, and it was so unexpected that Gor"
Chapter Five,121,period->comma,"“It was an observation.” Uthesia said, and took a sip of water.","“It was an observation,” Uthesia said, and took a sip of water."
Chapter Five,123,period->comma,"“I heard.” Muse said, pressing her lips together hard. ","“I heard,” Muse said, pressing her lips together hard. "
Chapter Five,127,period->comma,“Fine.” Carina said finally. “Fine. You get that one. ,"“Fine,” Carina said finally. “Fine. You get that one. "
Chapter Five,128,period->comma,"“Noted.” Uthesia said, and Muse heard a sound she’d neve","“Noted,” Uthesia said, and Muse heard a sound she’d neve"
Chapter Five,129,period->comma,"""Velldale's covered."" Cain said between spoonfuls, the way he said","""Velldale's covered,"" Cain said between spoonfuls, the way he said"
Chapter Five,132,period->comma,"""Good."" Muse said quietly, and something in her shou","""Good,"" Muse said quietly, and something in her shou"
Chapter Five,135,period->comma,“Longer than you’ve been alive.” Cain said.,"“Longer than you’ve been alive,” Cain said."
Chapter Five,147,period->comma,"“Of course I am.” He said, but he was already standing.","“Of course I am,” he said, but he was already standing."
Chapter Six,20,period->comma,"“I’m not getting involved.” Muse said from behind Cain, and he could hea","“I’m not getting involved,” Muse said from behind Cain, and he could hea"
Chapter Six,22,period->comma,“He wouldn’t miss.” Cain said.,"“He wouldn’t miss,” Cain said."
Chapter Six,24,period->comma,“You’re not.” Uthesia said from wherever she was.,"“You’re not,” Uthesia said from wherever she was."
Chapter Six,25,period->comma,"rrounded by haters and cowards.” Carina announced to the sky. “Witness me, gods. Wit","rrounded by haters and cowards,” Carina announced to the sky. “Witness me, gods. Wit"
Chapter Six,26,period->comma,ght complaining about porridge.” Gormund said.,"ght complaining about porridge,” Gormund said."
Chapter Six,30,period->comma,"e’s right about that, actually.” Uthesia said.","e’s right about that, actually,” Uthesia said."
Chapter Six,40,lowercase tag,“How far to Crimson Port?” The man asked without looking up. His voice was ,“How far to Crimson Port?” the man asked without looking up. His voice was 
Chapter Six,41,period->comma,e less if you stay on the road.” Cain said. “They’re taking people in. There’,"e less if you stay on the road,” Cain said. “They’re taking people in. There’"
Chapter Six,45,period->comma,"“West.” Uthesia said. “Their clothes are inland-style, ","“West,” Uthesia said. “Their clothes are inland-style, "
Chapter Six,46,period->comma,“Weeks.” Muse repeated.,"“Weeks,” Muse repeated."
Chapter Six,47,period->comma,"into what they’re running from.” Gormund said, and it wasn’t pessimism. It was j","into what they’re running from,” Gormund said, and it wasn’t pessimism. It was j"
Chapter Six,48,period->comma,“Good.” Carina said. Everyone looked at her. She shrug,"“Good,” Carina said. Everyone looked at her. She shrug"
Chapter Six,49,period->comma,"“People are dying, Carina.” Gormund said.","“People are dying, Carina,” Gormund said."
Chapter Six,59,period->comma,“Alright.” Carina said from her spot between Muse and Gor,"“Alright,” Carina said from her spot between Muse and Gor"
Chapter Six,60,period->comma,“That’s ominous.” Gormund said.,"“That’s ominous,” Gormund said."
Chapter Six,66,period->comma,"t’s actually kind of beautiful.” Carina said. “Disgusting, but beautiful.”","t’s actually kind of beautiful,” Carina said. “Disgusting, but beautiful.”"
Chapter Six,73,period->comma,Sounds like a remarkable woman.” Muse said.,"Sounds like a remarkable woman,” Muse said."
Chapter Six,75,period->comma,"“Apple, tree.” Gormund murmured.","“Apple, tree,” Gormund murmured."
Chapter Six,76,period->comma,"“Damn right.” Carina said, and she meant it, every syllable.","“Damn right,” Carina said, and she meant it, every syllable."
Chapter Six,79,period->comma,“Pray.” He said finally.,"“Pray,” he said finally."
Chapter Six,86,period->comma,"“Uthesia.” Carina said, moving on with the tactical grace","“Uthesia,” Carina said, moving on with the tactical grace"
Chapter Six,94,period->comma,"“Muse.” Carina said softly, after a moment. “You didn’","“Muse,” Carina said softly, after a moment. “You didn’"
Chapter Six,96,period->comma,“I want to see the sun.” She said.,"“I want to see the sun,” she said."
Chapter Six,97,period->comma,"“Alright.” Carina said, clapping her hands on her knees. ","“Alright,” Carina said, clapping her hands on her knees. "
Chapter Six,98,period->comma,ut of someone visiting a grave.” Gormund said.,"ut of someone visiting a grave,” Gormund said."
Chapter Six,106,period->comma,"“When the dome breaks.” Cain echoed, and his voice carried the weight ","“When the dome breaks,” Cain echoed, and his voice carried the weight "
Chapter Seven,3,period->comma,"“Two miles ahead, no further.” Cain said. “You see anything, you come back.","“Two miles ahead, no further,” Cain said. “You see anything, you come back."
Chapter Seven,6,period->comma,"“Thank you.” Gormund said, with feeling.","“Thank you,” Gormund said, with feeling."
Chapter Seven,7,period->comma,"“I didn’t do it for you.” Cain said, which was mostly true.","“I didn’t do it for you,” Cain said, which was mostly true."
Chapter Seven,21,period->comma,"“Something ahead.” He said quietly. “Animal. Large. Gormund, ","“Something ahead,” he said quietly. “Animal. Large. Gormund, "
Chapter Seven,23,period->comma,“Uthesia.” Cain said.,"“Uthesia,” Cain said."
Chapter Seven,58,period->comma,"“Gormund.” Cain said, breathing hard, the halberd red t","“Gormund,” Cain said, breathing hard, the halberd red t"
Chapter Seven,64,period->comma,“Good hit.” Cain said.,"“Good hit,” Cain said."
Chapter Seven,65,period->comma,"mer. Looked at the bear. “Yeah.” He said, and his voice was rough. “Yeah, i","mer. Looked at the bear. “Yeah,” he said, and his voice was rough. “Yeah, i"
Chapter Seven,72,period->comma,“Scratched.” Gormund said from somewhere to her right. “Left,"“Scratched,” Gormund said from somewhere to her right. “Left"
Chapter Seven,74,period->comma,"his needs cleaning and closing.” She said, “I can heal it, but—”","his needs cleaning and closing,” she said, “I can heal it, but—”"
Chapter Seven,75,period->comma,“Save it.” Gormund said immediately.,"“Save it,” Gormund said immediately."
Chapter Seven,79,period->comma,"“The supplies we bought.” She said, “In my pack, the outer pocket. Br","“The supplies we bought,” she said, “In my pack, the outer pocket. Br"
Chapter Seven,82,period->comma,“You’re good at this.” He said after the third stitch.,"“You’re good at this,” he said after the third stitch."
Chapter Seven,85,period->comma,"“Blind.” She confirmed, pulling the thread through. “The ","“Blind,” she confirmed, pulling the thread through. “The "
Chapter Seven,86,period->comma,“Uthesia.” Muse said as she worked. “Are you hurt?”,"“Uthesia,” Muse said as she worked. “Are you hurt?”"
Chapter Seven,92,period->comma,"“Sit down.” Muse said, and the warmth in her voice didn’","“Sit down,” Muse said, and the warmth in her voice didn’"
Chapter Seven,95,period->comma,"from that thing on your shield.” She said, tying off Gormund’s stitches and ","from that thing on your shield,” she said, tying off Gormund’s stitches and "
Chapter Seven,99,period->comma, need to rest this arm tonight.” She said.," need to rest this arm tonight,” she said."
Chapter Seven,100,period->comma,"“Alright.” He said, which they both knew meant he’d c","“Alright,” he said, which they both knew meant he’d c"
Chapter Seven,102,period->comma,“No.” He said. “It wasn’t.”,"“No,” he said. “It wasn’t.”"
Chapter Seven,106,period->comma,"“I’ll have a unit.” He said, and the way he said it carried th","“I’ll have a unit,” he said, and the way he said it carried th"
Chapter Seven,110,period->comma,"“Starvation.” He said, standing up and wiping his hands ","“Starvation,” he said, standing up and wiping his hands "
Chapter Seven,118,period->comma,“Two hours.” Cain said. “Take what you can in two hours. ,"“Two hours,” Cain said. “Take what you can in two hours. "
Chapter Seven,121,period->comma,"rything in this world is dying.’ He thought as he worked, his hands red with c","rything in this world is dying,’ he thought as he worked, his hands red with c"
Chapter Seven,128,period->comma,“Dire bear.” Cain said.,"“Dire bear,” Cain said."
Chapter Seven,134,period->comma,"“We handled it.” Gormund said from his seat, and his voice carri","“We handled it,” Gormund said from his seat, and his voice carri"
Chapter Seven,138,period->comma, did go down in thirty seconds.” Uthesia said mildly from her spot.," did go down in thirty seconds,” Uthesia said mildly from her spot."
Chapter Seven,140,period->comma,dn’t stop talking about clouds.” Cain said.,"dn’t stop talking about clouds,” Cain said."
Chapter Seven,142,period->comma,hing that ever happened to you.” Muse offered.,"hing that ever happened to you,” Muse offered."
Chapter Eight,6,period->comma,"“Corpse fires.” Gormund said from behind them, and the flatness","“Corpse fires,” Gormund said from behind them, and the flatness"
Chapter Eight,9,period->comma,Columns? Four that I can count.” Cain said. “Spread across the city. They’re ,"Columns? Four that I can count,” Cain said. “Spread across the city. They’re "
Chapter Eight,14,period->comma,“No guards at the gate.” Cain said.,"“No guards at the gate,” Cain said."
Chapter Eight,20,period->comma,"“Describe it.” Muse said, and braced herself.","“Describe it,” Muse said, and braced herself."
Chapter Eight,22,period->comma,ldings have marks on the doors.” Uthesia said. “Red paint. Some of them have two,"ldings have marks on the doors,” Uthesia said. “Red paint. Some of them have two"
Chapter Eight,23,period->comma,“Infection markers.” Muse said. She knew the system. Temples used,"“Infection markers,” Muse said. She knew the system. Temples used"
Chapter Eight,24,period->comma,"“A lot.” Uthesia said, and for the first time since Muse","“A lot,” Uthesia said, and for the first time since Muse"
Chapter Eight,25,period->comma,"‘Boarded from the outside.’ Muse thought, and the implications arranged the","‘Boarded from the outside,’ Muse thought, and the implications arranged the"
Chapter Eight,30,period->comma,‘This is what we’ve become.’ She thought. ‘We walk past the dying because w,"‘This is what we’ve become,’ she thought. ‘We walk past the dying because w"
Chapter Eight,36,period->comma,“Adventurers.” Cain said. “We carry a contract from Crimson,"“Adventurers,” Cain said. “We carry a contract from Crimson"
Chapter Eight,38,period->comma,"“The Lord is receiving.” The officer said, in a tone that suggested the Lord","“The Lord is receiving,” the officer said, in a tone that suggested the Lord"
Chapter Eight,49,period->comma,"“A satyr.” He said, chewing. “We don’t see many of th","“A satyr,” he said, chewing. “We don’t see many of th"
Chapter Eight,50,period->comma,"“I am.” Cain said, because in moments like this some","“I am,” Cain said, because in moments like this some"
Chapter Eight,54,period->comma,"“Crimson Port sent you.” He said. “Crimson Port, which has not once","“Crimson Port sent you,” he said. “Crimson Port, which has not once"
Chapter Eight,55,period->comma,"o Kordova, not to any one Lord.” Muse said from Cain’s left, and her voice wa","o Kordova, not to any one Lord,” Muse said from Cain’s left, and her voice wa"
Chapter Eight,56,period->comma," the way she stood. “A prophet.” He said, and the word carried a faint snee"," the way she stood. “A prophet,” he said, and the word carried a faint snee"
Chapter Eight,57,period->comma,"“The Solar Covenant.” Muse said, without hesitation, without apolo","“The Solar Covenant,” Muse said, without hesitation, without apolo"
Chapter Eight,58,period->comma,"“Never heard of it.” He said, and turned back to his food.","“Never heard of it,” he said, and turned back to his food."
Chapter Eight,60,period->comma,"‘He doesn’t know.’ Cain thought, and the realization was enormous ","‘He doesn’t know,’ Cain thought, and the realization was enormous "
Chapter Eight,62,period->comma,"plies for the westward journey.” Cain said, redirecting. “Anything you can sp","plies for the westward journey,” Cain said, redirecting. “Anything you can sp"
Chapter Eight,64,period->comma,“Fifty thousand.” Gormund said quietly from behind Cain.,"“Fifty thousand,” Gormund said quietly from behind Cain."
Chapter Eight,67,period->comma,u’re welcome to stay the night.” He said around a mouthful. “The inn distri,"u’re welcome to stay the night,” he said around a mouthful. “The inn distri"
Chapter Eight,78,period->comma,“Seventy thousand.” Gormund said.,"“Seventy thousand,” Gormund said."
Chapter Eight,82,period->comma,"“The storerooms.” Gormund continued, because if he stopped talking abo","“The storerooms,” Gormund continued, because if he stopped talking abo"
Chapter Eight,83,period->comma," know what’s in the storerooms.” Cain said, and his voice was careful, measur"," know what’s in the storerooms,” Cain said, and his voice was careful, measur"
Chapter Eight,85,period->comma,“You don’t know that.” Cain said again.,"“You don’t know that,” Cain said again."
Chapter Eight,88,period->comma,e need to see those storerooms.” Uthesia said. It was the first thing she’d said,"e need to see those storerooms,” Uthesia said. It was the first thing she’d said"
Chapter Eight,90,period->comma,"mally. Through proper channels.” Cain said, and when Gormund opened his mouth","mally. Through proper channels,” Cain said, and when Gormund opened his mouth"
Chapter Eight,92,period->comma,“Fine.” Gormund said. “We try it his way. But when it d,"“Fine,” Gormund said. “We try it his way. But when it d"
Chapter Eight,93,period->comma,"“When it doesn’t work.” Cain agreed, and the fact that he said ‘when’ ","“When it doesn’t work,” Cain agreed, and the fact that he said ‘when’ "
Chapter Eight,100,period->comma,"morrow we file the requisition.” She said, “We do it properly. We present ou","morrow we file the requisition,” she said, “We do it properly. We present ou"
Chapter Eight,101,period->comma,“He doesn’t care about Valdara.” Carina said from the floor. No heat in it. No ,"“He doesn’t care about Valdara,” Carina said from the floor. No heat in it. No "
Chapter Eight,102,period->comma,“She’s right.” Gormund said.,"“She’s right,” Gormund said."
Chapter Eight,103,period->comma,"“I know she’s right.” Muse said, and she let a crack show in the p","“I know she’s right,” Muse said, and she let a crack show in the p"
Chapter Eight,105,period->comma,"“Because he’s a Lord of the 72.” Cain said, and his voice carried something t","“Because he’s a Lord of the 72,” Cain said, and his voice carried something t"
Chapter Eight,106,period->comma,“It doesn’t mean anything now.” Carina said.,"“It doesn’t mean anything now,” Carina said."
