id,chapter,paragraph_in_chapter,before,after
B2-029,Chapter Nine,30,"His stride was unhurried, his hands in his pockets, the posture of a man who had just made a decision he didn’t like and was carrying it with the practiced resignation of someone who’d been making decisions he didn’t like for longer than most civilizations had existed.","His stride was unhurried, his hands in his pockets. He had just made a decision he didn’t like, and he carried it with practiced resignation. He’d been making decisions he didn’t like since before most civilizations existed."
B2-032,Chapter Ten,20,"The sound of the machines being checked, dials being read, the quiet competence of someone who understood the equipment.","The sound of the machines being checked, dials being read, quiet competence with the equipment."
B2-034,Chapter Ten,56,"Felt the heartbeat, stronger now, steady, the rhythm of a man who was going to live.","Felt the heartbeat, stronger now, steady. He was going to live."
B2-035,Chapter Eleven,37,"His footsteps retreating down the corridor, faster than they’d been coming, the stride of a man who’d found a purpose that his body was willing to override its injuries to pursue.","His footsteps retreating down the corridor, faster than they’d been coming, carrying a purpose his body was willing to override its injuries to pursue."
B2-036,Chapter Eleven,52,"It was tired, careful, the voice of someone who’d had time to sort through the heat and find what was underneath it.","It was tired, careful. She’d had time to sort through the heat and find what was underneath it."
B2-038,Chapter Eleven,108,"He reached in, pulled out a bundle, turned it in his hands with the familiarity of someone who’d seen it a thousand times.","He reached in, pulled out a bundle, turned it in his hands, familiar, a thing he’d handled a thousand times."
B2-039,Chapter Eleven,125,"Jane leaned against the lead wagon, her whip coiled over her shoulder, watching Carina and Billy walk toward the college with the resigned expression of a woman who had better things to do.","Jane leaned against the lead wagon, her whip coiled over her shoulder, watching Carina and Billy walk toward the college, resigned, visibly itemizing the better things she had to do."
B2-040,Chapter Eleven,146,"He pushed his hat back, scratching his curls with the casual irritation of a man who’d been through this before.","He pushed his hat back, scratching his curls, casually irritated. He’d been through this before."
B2-041,Chapter Twelve,5,"Rich clothes thrown on without care for presentation, silks and embroidered fabrics layered haphazardly, the wardrobe of a man who dressed to remind you of the gap between his means and yours.","Rich clothes thrown on without care for presentation, silks and embroidered fabrics layered haphazardly, dressed not to impress, dressed to remind you of the gap between his means and yours."
B2-043,Chapter Twelve,25,"The throne room was grand, tall ceilings, stone pillars, the architecture of people who believed their power would last forever and built accordingly.","The throne room was grand, tall ceilings, stone pillars, architecture that believed its power would last forever and built accordingly."
B2-044,Chapter Twelve,27,She was draped across the throne with the casual possession of someone who had claimed it not through birthright but through proximity to the person who had.,"She was draped across the throne in casual possession, a claim staked not by birthright but by proximity to the person who had it."
B2-045,Chapter Twelve,27,"Her body was displayed rather than covered, her clothing chosen to emphasize rather than conceal, the wardrobe of a woman who understood exactly what she looked like and considered it a primary asset.","Her body was displayed rather than covered, her clothing chosen to emphasize rather than conceal. She understood exactly what she looked like, and considered it a primary asset."
B2-046,Chapter Twelve,33,"She sucked in air with the desperate, ragged breathing of someone who had been removed from existence and returned to it without warning.","She sucked in air, desperate and ragged, removed from existence and returned to it without warning."
B2-047,Chapter Twelve,37,"Sobbing, her words coming in fragments between the gasps, the babbling of someone who had just experienced death and was processing the return with all the coherence that entailed.","Sobbing, her words coming in fragments between the gasps, babbling, processing the return from death with all the coherence that entailed."
B2-048,Chapter Twelve,40,"It entered the base of the older woman’s skull at the junction between skull and spine, severing the brain stem with the anatomical precision of someone who had studied exactly where to place it.","It entered the base of the older woman’s skull at the junction between skull and spine, severing the brain stem with anatomical precision, a placement studied in advance."
B2-049,Chapter Twelve,61,Her voice carried the clarity of a woman who was not raising her volume but was ensuring every syllable reached every ear.,"Her voice carried, not louder, just engineered so that every syllable reached every ear."
B2-050,Chapter Twelve,74,"Dantalion, behind his knights, his composure cracked for the first time in this conversation, the carefully cultivated intellectual superiority shattered by the entrance of someone who didn’t care about vocabulary.","Dantalion, behind his knights, his composure cracked for the first time in this conversation, the carefully cultivated intellectual superiority shattered by the arrival of a problem vocabulary couldn’t solve."
B2-051,Chapter Twelve,85,It was the involuntary response of a woman who had just heard a name that carried weight in Murim the way Orsted’s name carried weight everywhere else.,It was involuntary. That name carried weight in Murim the way Orsted’s carried weight everywhere else.
B2-052,Chapter Twelve,104,The grin of a man who had found the nerve he was looking for and pressed it until it broke.,"The grin said he’d found the nerve he was looking for, and pressed it until it broke."
B2-053,Chapter Thirteen,36,"Or what Gormund had decided was the helm, a console of buttons and levers and switches and dials that the dwarf was operating with the confident uncertainty of a man who’d figured out sixty percent of the controls and was improvising the rest.","Or what Gormund had decided was the helm, a console of buttons and levers and switches and dials that the dwarf was operating with confident uncertainty, sixty percent of the controls figured out and the rest improvised."
B2-054,Chapter Thirteen,37,"He launched from the helm and wrapped his arms around Cain’s midsection, the embrace of a man who had been waiting for this moment and was not going to let propriety diminish it.","He launched from the helm and wrapped his arms around Cain’s midsection, a hug he’d been saving and refused to let propriety diminish."
B2-056,Chapter Thirteen,60,"She leaned against the frame, arms crossed, her expression carrying the quiet satisfaction of a woman who had been waiting for this reunion and was content to observe it from the periphery.","She leaned against the frame, arms crossed, quietly satisfied, content to watch the reunion from the periphery."
B2-057,Chapter Thirteen,81,"The ship, told by Gormund with engineering enthusiasm and Uthesia with the perspective of someone who’d been shot at.","The ship, told by Gormund with engineering enthusiasm, and by Uthesia, who had been the one getting shot at."
B2-058,Chapter Thirteen,81,"The surgery, told by Muse with the quiet understatement of a woman who still didn’t quite believe she’d done it.","The surgery, told by Muse with quiet understatement. She still didn’t quite believe she’d done it."
B2-059,Chapter Thirteen,87,They told it with the breathlessness of people who had witnessed something beyond their frame of reference and were still processing it.,"They told it breathlessly, still processing something beyond their frame of reference."
B2-060,Chapter Thirteen,121,"The man’s voice was thin, cracked, the voice of someone who had been running from something and had just run into something worse.","The man’s voice was thin, cracked, running from one thing and freshly arrived at something worse."
B2-061,Chapter Thirteen,136,"She recognized it now, the pattern she’d been repeating since the dungeon, the reflexive withdrawal of a woman who’d been taught that disagreement meant weakness.","She recognized it now, the pattern she’d been repeating since the dungeon, reflexive withdrawal, the old training that said disagreement meant weakness."
B2-062,Chapter Thirteen,143,"Middle-aged, weathered, the face of someone who’d been traveling alone for a while.","Middle-aged, weathered, a face that had been traveling alone for a while."
B2-063,Chapter Fourteen,55,"He laughed, soft, private, the amusement of a man who’d just confirmed something he’d suspected.","He laughed, soft, private, a suspicion confirmed."
B2-064,Chapter Fourteen,58,"The vendor, a middle-aged man with the easy manner of someone who’d decided that selling food during an apocalypse was still better than not selling food, nodded.","The vendor, a middle-aged man whose easy manner said selling food during an apocalypse still beat not selling food, nodded."
B2-065,Chapter Fourteen,62,"Generously, the coins placed on the counter with the careful presentation of a man who wanted the generosity noticed.","Generously, the coins placed on the counter just carefully enough that the generosity would be noticed."
B2-066,Chapter Fourteen,65,She was directing the crew with the efficient authority of someone who’d done this many times.,"She was directing the crew with efficient authority, an operation she’d run many times."
B2-067,Chapter Fourteen,73,"Slow, measured, each step placed with a deliberate pace of a man who enjoyed this sight.","Slow, measured, each step placed deliberately. He was enjoying the sight."
B2-068,Chapter Fourteen,78,"Twenty armed men and women, standing perfectly still, weapons lowered, every face displaying the identical expression of people who had just witnessed something they would never forget and desperately wanted to.","Twenty armed men and women, standing perfectly still, weapons lowered, every face wearing the same expression, witnesses to something they would never forget and desperately wanted to."
B2-069,Chapter Fourteen,80,"Her face was controlled, carefully blank, the face of someone who had just recalculated every variable in her situation and arrived at a new answer.","Her face was controlled, carefully blank, every variable in her situation freshly recalculated, a new answer arrived at."
B2-070,Chapter Fourteen,106,"One leg crossed over the other, a small table beside him bearing a teapot and a cup, his posture the casual arrangement of a man who had been expecting company and had decided to make them come to him.","One leg crossed over the other, a small table beside him bearing a teapot and a cup, casually arranged. He had been expecting company, and he had decided to make them come to him."
B2-071,Chapter Fourteen,111,"Barbatos closed the distance, his boots on the stone carrying the sharp, percussive rhythm of a man who was choosing not to run because running would diminish the threat.","Barbatos closed the distance, his boots sharp and percussive on the stone, walking, pointedly, because running would diminish the threat."
B2-072,Chapter Fourteen,146,"Stood there for a moment, the line of his shoulders carrying something that was not defeat but was adjacent to it, the posture of a man who had walked into a room expecting to be the smartest person in it and had been reminded, forcefully, that intelligence came in more than one variety.","Stood there for a moment, the line of his shoulders carrying something that was not defeat but was adjacent to it. He had walked into the room expecting to be the smartest person in it, and he had been reminded, forcefully, that intelligence came in more than one variety."
B2-075,Chapter Fifteen,49,"It was something harder, set, the look of a woman who’d made a decision and was prepared to defend it.","It was something harder, set. A decision made, and ready to be defended."
B2-076,Chapter Fifteen,72,"Jane was waiting, arms crossed, the expression of a woman who already knew what he was going to say.","Jane was waiting, arms crossed, already knowing what he was going to say."
B2-077,Chapter Sixteen,25,"He was reading a report, his posture the relaxed efficiency of someone who was comfortable waiting and had brought work to fill the time.","He was reading a report, relaxed, efficient, comfortable waiting. He’d brought work to fill the time."
B2-078,Chapter Sixteen,29,"Cain’s eye was open, had probably been open for a while, watching the room from his bed with the quiet assessment of a man who woke up in unfamiliar places often enough to have a system for it.","Cain’s eye was open, had probably been open for a while, watching the room from his bed with quiet assessment. He woke in unfamiliar places often enough to have a system for it."
B2-079,Chapter Sixteen,53,"Gormund met his eyes without flinching, the directness of a man who had been carrying this particular secret long enough to be tired of it.","Gormund met his eyes without flinching, direct, tired of carrying this particular secret."
B2-080,Chapter Sixteen,60,"He paced as he spoke, the delivery practiced, the pitch of a man who’d given this speech enough times that it ran on its own.","He paced as he spoke, the delivery practiced, a speech given enough times that it ran on its own."
B2-081,Chapter Sixteen,74,"“That’s Orsted,” Fafnir said, with the tone of a man who’d heard enough Orsted stories to fill a library and still found each one mildly unbelievable.","“That’s Orsted,” Fafnir said. He’d heard enough Orsted stories to fill a library and still found each one mildly unbelievable."
B2-083,Chapter Sixteen,114,"The Lord of Poison turned from Fafnir, the motion casual, the reflexive response of a man who’d felt the weight of a stare.","The Lord of Poison turned from Fafnir, casual, reflexive, answering the weight of a stare."
B2-084,Chapter Sixteen,119,"Then the search concluded without a result, and the Lord shrugged with the easy grace of a man who had too many memories to hold them all.","Then the search concluded without a result, and the Lord shrugged, easy, graceful, too many memories to hold them all."
B2-085,Chapter Seventeen,2,Carina moved through the upper floors with the quiet efficiency of a woman who had been trained to infiltrate sect strongholds where the guards could sense ki fluctuations through stone walls.,"Carina moved through the upper floors quickly, quietly. She had been trained to infiltrate sect strongholds where the guards could sense ki fluctuations through stone walls."
B2-087,Chapter Seventeen,15,"Dense, heavy, the quality of people who had built their bodies through decades of combat rather than months of training.","Dense, heavy, bodies built by decades of combat, not months of training."
B2-089,Chapter Seventeen,23,"Calm, unhurried, the posture of someone who belonged here.","Calm, unhurried, like she belonged here."
B2-090,Chapter Seventeen,47,"Another swing, heavier, the full commitment of a man who sensed the opening.","Another swing, heavier, fully committed. He’d sensed the opening."
B2-091,Chapter Eighteen,15,"The plum blossom eyes are warm, certain, the eyes of a man who has reached a level of power where promises aren’t aspirations but facts.","The plum blossom eyes are warm, certain, power at the level where promises aren’t aspirations but facts."
B2-094,Chapter Eighteen,175,"The slow bleeding of a sect that was already wounded, the members leaving not in anger but in the quiet resignation of people who can see the trajectory and don’t want to be there when it reaches its conclusion.","The slow bleeding of a sect that was already wounded, the members leaving not in anger but in quiet resignation, reading the trajectory and declining to be present at its conclusion."
B2-095,Chapter Nineteen,12,"Fafnir’s voice, pitched higher than anything they’d heard from the composed Chaptermaster, the tone of a man who had been pushed past his professional register into something closer to a parent scolding a child.","Fafnir’s voice, pitched higher than anything they’d heard from the composed Chaptermaster, pushed past his professional register into something closer to a parent scolding a child."
B2-096,Chapter Nineteen,13,"Ghislaine’s voice, unbothered, the cadence of someone who didn’t understand why the other person was upset.","Ghislaine’s voice, unbothered, genuinely unclear on why the other person was upset."
B2-097,Chapter Nineteen,19,"Missing a left hand, the stump bandaged with the competent wrapping of someone who knew field medicine.","Missing a left hand, the stump bandaged with the competence of field medicine."
B2-098,Chapter Nineteen,59,"Her voice was rough, unused, the voice of someone who’d been unconscious for hours and was still reassembling the connection between thought and speech.","Her voice was rough, unused, hours of unconsciousness still in it, the connection between thought and speech still reassembling."
B2-100,Chapter Twenty,3,"He looked tired, the permanent exhaustion of a man who had been doing the work of twenty people for months, but the tiredness was different today.","He looked tired, the permanent kind, months of doing the work of twenty people, but the tiredness was different today."
B2-101,Chapter Twenty,77,He moved through the racks with the quiet assessment of a man who had been holding weapons all his life.,"He moved through the racks with quiet assessment, a lifetime of weapons in his hands."
B2-103,Chapter Twenty-One,8,"“Now, I’ve been thinking,” he said, pivoting with the seamless grace of a man who changed subjects the way other people changed direction.","“Now, I’ve been thinking,” he said, pivoting seamlessly, changing subjects the way other people changed direction."
B2-104,Chapter Twenty-One,77,"The footsteps that came through it were fast, purposeful, the stride of someone who had been moving slower than they wanted to for a long time and was done tolerating it.","The footsteps that came through it were fast, purposeful, a stride that had been held below its natural speed for a long time and was done tolerating it."
B2-105,Chapter Twenty-One,90,"“I told her you were here,” he continued, steady, the voice of a man delivering difficult information with the professional care of someone who’d done it many times.","“I told her you were here,” he continued, steady, delivering difficult information with professional care. He’d done it many times."
B2-107,Chapter Twenty-Two,53,"At Carina, who had at some point during the conversation laid down on her back and was staring at the sky with the expression of someone who’d stopped paying attention.","At Carina, who had at some point during the conversation laid down on her back and was staring at the sky, visibly no longer paying attention."
B2-111,Chapter Twenty-Three,52,"Guardsmen surrounded them immediately, not hostile but urgent, the energy of people who had been waiting for help for a very long time and needed to extract every piece of information before the situation got worse.","Guardsmen surrounded them immediately, not hostile but urgent. Help had been a long time coming, and they needed every piece of information before the situation got worse."
B2-112,Chapter Twenty-Three,57,"Another soldier, younger, the question carrying the desperation of someone who’d been rationing for weeks.","Another soldier, younger, the question edged with weeks of rationing."
B2-113,Chapter Twenty-Three,64,"The face above the gorget was weathered, lined, the face of a man who had been making hard decisions on inadequate sleep for weeks and was still making them.","The face above the gorget was weathered, lined, weeks of hard decisions on inadequate sleep, with more still to make."
B2-114,Chapter Twenty-Three,64,"Rowan, silver-bearded, the calm of a man who had survived enough wars to stop being surprised by them.","Rowan, silver-bearded, too many wars survived to be surprised by one more."
B2-115,Chapter Twenty-Three,102,The grin was the particular grin of a man who enjoyed the game more than the outcome.,The grin said he enjoyed the game more than the outcome.
B2-120,Chapter Twenty-Nine,33,"Yoo was already moving toward the door, the energy of a woman who had been sitting still for days and was finally being pointed at something she could hit.","Yoo was already moving toward the door, days of sitting still finally pointed at something she could hit."
B2-122,Chapter Twenty-Nine,96,"The Merchant pulled it back, the motion smooth, practiced, the gesture of a man who had done this exact dance many times.","The Merchant pulled it back, smooth, practiced. He had done this exact dance many times."
B2-124,Chapter Thirty,23,"The sound was bright, genuine, the laugh of a woman who hadn’t been around friendly people in weeks.","The sound was bright, genuine, her first laugh among friendly people in weeks."
B2-126,Chapter Thirty-One,52,"Hands found her, reaching, touching, the gratitude of people who had watched a golden cathedral save their lives and wanted to thank whoever had built it.","Hands found her, reaching, touching. They had watched a golden cathedral save their lives, and they wanted to thank whoever built it."
B2-127,Chapter Thirty-One,73,"The silence of people who had never seen Cain need space for anything, who had watched the wall hold through everything without once asking for a break.",Nobody spoke. None of them had ever seen Cain need space for anything. The wall had held through everything without once asking for a break.
B2-128,Chapter Thirty-One,80,"Small, blonde, immaculate, carrying herself with the precision of someone who had been raised in rooms where precision was the minimum acceptable standard.","Small, blonde, immaculate, carrying herself with precision, raised in rooms where precision was the minimum acceptable standard."
B2-129,Chapter Thirty-One,97,"The question open, inviting, the posture of a man who needed things explained to him.","The question open, inviting, a man making space to have things explained to him."
B2-130,Chapter Thirty-One,105,Elizabeth rose with the precise movement of someone who had been trained to exit a room the same way she entered it.,"Elizabeth rose precisely, trained to exit a room the same way she entered it."
B2-132,Chapter Thirty-Two,24,Yoo’s expression carried the weariness of someone who’d dealt with the consequences.,Yoo’s expression said she’d dealt with the consequences.
B2-133,Chapter Thirty-Three,44,"Muse asked, her voice carrying the fatigue of someone who had learned a great deal about arcane theory and nothing at all about escaping a maze.","Muse asked, fatigued, having learned a great deal about arcane theory and nothing at all about escaping a maze."
B2-134,Chapter Thirty-Three,48,"From the corridor outside, the sound of someone who had arrived at the same conclusion through a very different emotional process.","From the corridor outside, the sound of the same conclusion being reached through a very different emotional process."
B2-136,Chapter Thirty-Three,83,"Calligraphy pens in a stand beside an inkwell, the metal work on them fine enough that Gormund picked one up, examined it, and quietly put it back down with the expression of a man who’d just held something worth more than his annual earnings.","Calligraphy pens in a stand beside an inkwell, the metal work on them fine enough that Gormund picked one up, examined it, and quietly put it back down, having just held something worth more than his annual earnings."
B2-137,Chapter Thirty-Three,84,Inarus settled himself behind the desk with the practiced ease of someone who’d been sitting in that chair regularly.,"Inarus settled himself behind the desk with practiced ease, a chair he had clearly been sitting in regularly."
B2-139,Chapter Thirty-Five,61,"The bluntness was a mercy, cutting through the emotional fog with the efficiency of someone who didn’t have the bandwidth for it.","The bluntness was a mercy, cutting through the emotional fog. He didn’t have the bandwidth for it."
B2-141,Chapter Thirty-Seven,2,His voice had the cadence of someone who had been composing a sentence in his head for several minutes and was delivering it before he lost the nerve.,His voice had the cadence of a sentence composed in the head for several minutes and delivered before the nerve gave out.
B2-144,Chapter Thirty-Eight,20,The posture of a man who was comfortable.,"Comfortable, and making no secret of it."
B2-145,Chapter Thirty-Eight,66,"Both destroyed in under a second, the quick-draw execution of a man who had spent decades firing weapons.","Both destroyed in under a second, a quick-draw built from decades of firing weapons."
B2-147,Chapter Thirty-Nine,41,"He swung the halberd down at the cliff face with everything he had, the full commitment of a man who had chosen to destroy the ground rather than block the attack from above.","He swung the halberd down at the cliff face with everything he had, fully committed, choosing to destroy the ground rather than block the attack from above."
B2-148,Chapter Thirty-Nine,65,"He reached into the spatial inventory, his fingers sorting through the contents with the practiced speed of a man who kept his emergency measures organized.","He reached into the spatial inventory, his fingers sorting through the contents at practiced speed. He kept his emergency measures organized."
B2-110a,Chapter Twenty-Three,33,a floating artillery platform with the casting knowledge of someone who had studied hard enough to attempt lichdom,a floating artillery platform with all the casting knowledge an attempt at lichdom required
