id,chapter,paragraph_in_chapter,before,after
B1-055,Chapter Sixteen,23,"His eyes were still sharp, still focused, still carrying the fury of a man who still believed himself above the world.","His eyes were still sharp, still focused, still furious, still certain he was above the world."
B1-057,Chapter Nineteen,2,"He knew this because Gale had started counting for him somewhere around day two, updating the number each morning with the quiet, pointed precision of a man who had given up on persuasion and moved on to documentation.","He knew this because Gale had started counting for him somewhere around day two, updating the number each morning with quiet, pointed precision, persuasion abandoned in favor of documentation."
B1-058,Chapter Nineteen,14,"He used words, carefully selected and arranged with the precision of a man who understood that language was a form of commerce.","He used words, carefully selected and arranged with precision, language treated as a form of commerce."
B1-060,Chapter Nineteen,69,"Her arms were crossed and her expression was the mix of warmth and impatience that he’d learned to read years ago, the expression of a woman who loved the people she loved fiercely and had very little patience for the people she didn’t.","Her arms were crossed and her expression was the mix of warmth and impatience that he’d learned to read years ago. She loved the people she loved fiercely, and had very little patience for everyone else."
B1-061,Chapter Twenty,27,"Leo took it, and the handshake was warm, genuine, the grip of a man who measured people by what they did rather than what they said.","Leo took it, and the handshake was warm, genuine. He measured people by what they did, not what they said."
B1-062,Chapter Twenty,55,"The mask turned toward each person at the table, her dark eyes finding them through the slits, and when she spoke her voice carried the calm certainty of someone who had already worked through the problem and was now presenting the solution.","The mask turned toward each person at the table, her dark eyes finding them through the slits, and when she spoke her voice carried calm certainty, the problem already worked through, the solution simply being presented."
B1-064,Chapter Twenty,78,"Leo watched the reactions, Stonewalker’s grudging recalculation, Asriel’s academic hunger warring with his skepticism, Ghislaine’s barely contained excitement, Orsted’s silence, unchanged, the silence of a man who already knew the plan because he’d helped build it.","Leo watched the reactions, Stonewalker’s grudging recalculation, Asriel’s academic hunger warring with his skepticism, Ghislaine’s barely contained excitement, Orsted’s silence, unchanged. He already knew the plan. He’d helped build it."
B1-066,Chapter Twenty-Two,34,"But it was quieter now, diminished, the arrogance of a man who had been forced to reconsider its foundations.","But it was quieter now, diminished, an arrogance forced to reconsider its foundations."
B1-068,Chapter Twenty-Two,67,"Cain, who had returned from the gates and was leaning against the wall with the exhaustion of a man who’d been standing for sixteen hours, didn’t answer immediately.","Cain, who had returned from the gates and was leaning against the wall with sixteen hours of standing in his body, didn’t answer immediately."
B1-073,Chapter Twenty-Nine,4,"Hoots and hollers, the raucous celebration of people who had just taken something from someone who didn’t want to give it up.","Hoots and hollers, raucous celebration, the sound of something newly taken from someone who didn’t want to give it up."
B1-074,Chapter Twenty-Nine,7,"Lower, rougher, carrying the edge of someone who didn’t need to raise her voice to make a point.","Lower, rougher, edged. She didn’t need to raise her voice to make a point."
B1-075,Chapter Twenty-Nine,15,"His voice was warm, calm, the voice of someone who had held people through worse.","His voice was warm, calm, a voice that had held people through worse."
B1-076,Chapter Twenty-Nine,26,"“Nothing,” she said, her voice flat, direct, the voice of a woman who considered wasting words a moral failing.","“Nothing,” she said, flat and direct. Wasting words, apparently, was a moral failing."
B1-078,Chapter Twenty-Nine,40,"His face was young, handsome in the easy, uncomplicated way of someone who’d never had to work at it, a grin already in place when he came through the door.","His face was young, handsome without effort or complication, a grin already in place when he came through the door."
B1-079,Chapter Twenty-Nine,40,"His horns curved up from his temples, shorter than Cain’s but polished, well-kept, the horns of a man who gave a damn about how he looked.","His horns curved up from his temples, shorter than Cain’s but polished, well-kept. He gave a damn about how he looked."
B1-080,Chapter Twenty-Nine,55,"Just practical, the practice of a man who operated in a world where resources were finite and sentimentality was a luxury that got people killed.","Just practical, a world where resources were finite and sentimentality was a luxury that got people killed."
B1-081,Chapter Twenty-Nine,73,"The grin was back, but warmer now, the grin of a man who’d just shared something real and wanted to see what she’d do with it.","The grin was back, warmer now. He’d shared something real, and he wanted to see what she’d do with it."
B1-082,Chapter Thirty,35,"Three Chaptermasters along the left wall, representing the guild’s operational leadership, their faces carrying the uniform exhaustion of people who’d been managing a crisis without enough resources.","Three Chaptermasters along the left wall, representing the guild’s operational leadership, their faces uniformly exhausted, months of crisis managed without enough resources."
B1-083,Chapter Thirty,57,"He gathered his coat from the chair back with the unhurried elegance of a man who wanted you to know he was leaving by choice, not because he’d been displaced.","He gathered his coat from the chair back with unhurried elegance, making sure the room understood he was leaving by choice, not displacement."
B1-084,Chapter Thirty,59,"She caught Leo’s eye and the look she gave him was tired, the look of a woman who’d been playing defense against the same opponent for decades and knew she’d be playing it again tomorrow.","She caught Leo’s eye and the look she gave him was tired, decades of playing defense against the same opponent, with tomorrow’s match already scheduled."
B1-085,Chapter Thirty,61,"She gave a slight nod to Lumina, avoided Orsted’s gaze in the quick, careful way of someone who found his presence uncomfortable for reasons she kept to herself, and left.","She gave a slight nod to Lumina, avoided Orsted’s gaze quickly, carefully, uncomfortable with him for reasons she kept to herself, and left."
B1-086,Chapter Thirty,77,"Leo felt it, the collective exhale of people who’d been holding a specific fear without naming it.","Leo felt it, the room’s collective exhale, a specific fear released without ever being named."
B1-087,Chapter Thirty,87,He was walking with the unhurried stride of a man who owned the ground beneath his feet regardless of whose territory it technically was.,"He was walking unhurried, like he owned the ground beneath his feet regardless of whose territory it technically was."
B1-088,Chapter Thirty,98,"Barbatos took two more steps before he stopped as well, turning to face her with the easy posture of a man who had all the time in the world.","Barbatos took two more steps before he stopped as well, turning to face her, easy, all the time in the world."
B1-090,Chapter Thirty,123,"Something smaller, sharper, the smile of a man who had just shown his hand and wanted her to know that knowing his hand didn’t help her play hers.","Something smaller, sharper. He’d shown his hand, and he wanted her to know that knowing it didn’t help her play hers."
